date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:52	44325/44325	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:50%20GMT	https://www.srsexteriors.com/roofing/replacement/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/roofing/replacement/index.html	(from https://www.srsexteriors.com/)
18:22:52	43848/43848	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:51%20GMT	https://www.srsexteriors.com/siding/options-materials/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/siding/options-materials/index.html	(from https://www.srsexteriors.com/)
18:22:52	190/190	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Jan%202021%2000:22:50%20GMT	https://www.srsexteriors.com/replacement-windows/options-materials	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/replacement-windows/options-materials.b.delayed	(from https://www.srsexteriors.com/)
18:22:52	62000/62000	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:52%20GMT	https://www.srsexteriors.com/replacement-windows/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/replacement-windows/index.html	(from https://www.srsexteriors.com/)
18:22:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Jan%202021%2000:22:51%20GMT	https://www.srsexteriors.com/gutters/guards	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/gutters/guards.c.delayed	(from https://www.srsexteriors.com/)
18:22:53	61935/61935	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:52%20GMT	https://www.srsexteriors.com/gutters/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/gutters/index.html	(from https://www.srsexteriors.com/)
18:22:53	43717/43717	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:52%20GMT	https://www.srsexteriors.com/replacement-windows/options-materials/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/replacement-windows/options-materials/index.html	(from https://www.srsexteriors.com/)
18:22:54	43238/43238	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:53%20GMT	https://www.srsexteriors.com/gutters/guards/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/gutters/guards/index.html	(from https://www.srsexteriors.com/)
18:22:54	62986/62986	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:53%20GMT	https://www.srsexteriors.com/storm-restoration/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/storm-restoration/index.html	(from https://www.srsexteriors.com/)
18:22:54	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Jan%202021%2000:22:52%20GMT	https://www.srsexteriors.com/storm-restoration/hail-damage	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/storm-restoration/hail-damage.d.delayed	(from https://www.srsexteriors.com/)
18:22:54	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Jan%202021%2000:22:53%20GMT	https://www.srsexteriors.com/storm-restoration/wind-damage	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/storm-restoration/wind-damage.e.delayed	(from https://www.srsexteriors.com/)
18:22:54	4228/4228	---M--	200	added ('OK')	image/png	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/hero-sponsor-bbb.png	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/hero-sponsor-bbb.png	(from https://www.srsexteriors.com/)
18:22:55	4408/4408	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/hero-sponsor-5star.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/hero-sponsor-5star.jpg	(from https://www.srsexteriors.com/)
18:22:55	43963/43963	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:54%20GMT	https://www.srsexteriors.com/storm-restoration/hail-damage/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/storm-restoration/hail-damage/index.html	(from https://www.srsexteriors.com/)
